Name of the College,State,District,Type,Govt/Private,Qualification,Other Degree,Trade/Branch
Government Industrial Training Institute for Women,Puducherry,Puducherry,Girl's,Govt,ITI,PG,ITI in Draughtsman (Civil)
Government Industrial Training Institute for Women,Puducherry,Puducherry,Girl's,Govt,ITI,PG,ITI in Electronics Mechanic
Government Industrial Training Institute for Women,Puducherry,Puducherry,Girl's,Govt,ITI,PG,ITI in Information Communication Technology System Maintenance
Government Industrial Training Institute for Women,Puducherry,Puducherry,Girl's,Govt,ITI,PG,ITI in Sewing Technology
Government Industrial Training Institute for Women,Puducherry,Puducherry,Girl's,Govt,ITI,PG,ITI in Computer Operator and Programming Assistant (COPA)
Government Industrial Training Institute for Women,Puducherry,Karaikal,Female,Govt,ITI,None,ITI in Computer Operator and Programming Assistant 
Government Industrial Training Institute for Women,Puducherry,Karaikal,Female,Govt,ITI,None,ITI in Draughtsman (Civil)
Government Industrial Training Institute for Women,Puducherry,Karaikal,Female,Govt,ITI,None,ITI in Sewing Technology 
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Computer Operator and Programming Assistant 
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Electrician
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Wireman
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Electronics Mechanic
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Fitter
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Information Communication Technology System Maintainence
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Machinist
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Mason (Building Constructor)
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Instrument Mechanic
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Mechanic (Motor Vehicle)
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Mechanic (Refrigerator and Air Conditioning)
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Mechanic Diesel
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Turner
Government Industrial Training Institute for Men,Puducherry,Karaikal,Male,Govt,ITI,None,ITI in Welder
Rajiv Gandhi Government Industrial Training Institute,Puducherry,Mahe,Co-edu,Govt,ITI,None,ITI in Electrician
Rajiv Gandhi Government Industrial Training Institute,Puducherry,Mahe,Co-edu,Govt,ITI,None,ITI in Fitter
Rajiv Gandhi Government Industrial Training Institute,Puducherry,Mahe,Co-edu,Govt,ITI,None,ITI in Mechanic (Refrigeration and Air-Conditioning)
Rajiv Gandhi Government Industrial Training Institute,Puducherry,Mahe,Co-edu,Govt,ITI,None,ITI in Draughtsman (Civil)
Nethaji Subhash Chandra Bose Government Industrial Training Institute,Puducherry,Yanam,Co-edu,Government,ITI,None,ITI in Electrician      
Nethaji Subhash Chandra Bose Government Industrial Training Institute,Puducherry,Yanam,Co-edu,Government,ITI,None,ITI in Electronics Mechanic
Nethaji Subhash Chandra Bose Government Industrial Training Institute,Puducherry,Yanam,Co-edu,Government,ITI,None,ITI in Wireman
