Name of the College,State,District,Type(Male/Female/Co-edu),Govt/Private,Qualification,Other Degree,Trade/Branch
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Electrician 
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Fitter
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Welder
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Mechanic Diesel
Neelam Singh College of Technology & Research Private ITI,Jharkhand,Chatra,Co-edu,Private,ITI,None,Electrician 
Neelam Singh College of Technology & Research Private ITI,Jharkhand,Chatra,Co-edu,Private,ITI,None,Fitter
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Mechanic Diesel
Daksh Private ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Daksh Private ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Welder
B.L. Memorial PVT ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
B.L. Memorial PVT ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
PARAS PRIVATE ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
PARAS PRIVATE ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Satish Chandra Gorai Pvt. ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Electrician
