Name of the College,State,District,Type,Ownership ,Qualification ,Other Degree,Course
Tripura University (Central University),Tripura,West Tripura,Co-ed,Central Govt,UG,"M.A., M.Sc.",BA
Tripura University (Central University),Tripura,West Tripura,Co-ed,Central Govt,UG,"M.A., M.Sc.",B.Sc
Tripura University (Central University),Tripura,West Tripura,Co-ed,Central Govt,UG,"M.A., M.Sc.",B.Com
MBB College,Tripura,West Tripura,Co-ed,Government,UG,"M.A., M.Sc.",BA
MBB College,Tripura,West Tripura,Co-ed,Government,UG,"M.A., M.Sc.",B.Sc
MBB College,Tripura,West Tripura,Co-ed,Government,UG,"M.A., M.Sc.",B.Com
"Women's College, Agartala",Tripura,West Tripura,Women,Government,UG,N/A,BA
"Women's College, Agartala",Tripura,West Tripura,Women,Government,UG,N/A,B.Sc
"Women's College, Agartala",Tripura,West Tripura,Women,Government,UG,N/A,B.Com
Ramthakur College,Tripura,West Tripura,Co-ed,Private,UG,N/A,BA
Ramthakur College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc
Ramthakur College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Com
Tripura Government Law College,Tripura,West Tripura,Co-ed,Government,UG,N/A,LLB
"Government Degree College, Dharmanagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Dharmanagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Dharmanagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Kailashahar",Tripura,Unakoti,Co-ed,Government,UG,N/A,BA
"Government Degree College, Kailashahar",Tripura,Unakoti,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Kailashahar",Tripura,Unakoti,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Ambassa",Tripura,Dhalai,Co-ed,Government,UG,N/A,BA
"Government Degree College, Ambassa",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Ambassa",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Udaipur",Tripura,Gomati,Co-ed,Government,UG,N/A,BA
"Government Degree College, Udaipur",Tripura,Gomati,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Udaipur",Tripura,Gomati,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Belonia",Tripura,South Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Belonia",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Belonia",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Com
Sister Nivedita College,Tripura,West Tripura,Co-ed,Private,UG,N/A,BA
Sister Nivedita College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc
Sister Nivedita College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Com
Netaji Subhash Mahavidyalaya,Tripura,West Tripura,Co-ed,Private,UG,N/A,BA
Netaji Subhash Mahavidyalaya,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc
Netaji Subhash Mahavidyalaya,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Com
Iswar Chandra Vidyasagar College,Tripura,Sepahijala,Co-ed,Private,UG,N/A,BA
Iswar Chandra Vidyasagar College,Tripura,Sepahijala,Co-ed,Private,UG,N/A,B.Sc
Iswar Chandra Vidyasagar College,Tripura,Sepahijala,Co-ed,Private,UG,N/A,B.Com
Tripura Medical College,Tripura,West Tripura,Co-ed,Private,UG,N/A,MBBS
Tripura Medical College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc Nursing
"National Institute of Technology, Agartala",Tripura,West Tripura,Co-ed,Central Govt,UG,N/A,B.Tech
"Government Degree College, Teliamura",Tripura,Khowai,Co-ed,Government,UG,N/A,BA
"Government Degree College, Teliamura",Tripura,Khowai,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Teliamura",Tripura,Khowai,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Kamalpur",Tripura,Dhalai,Co-ed,Government,UG,N/A,BA
"Government Degree College, Kamalpur",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Kamalpur",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Sabroom",Tripura,South Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Sabroom",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Sabroom",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Sonamura",Tripura,Sepahijala,Co-ed,Government,UG,N/A,BA
"Government Degree College, Sonamura",Tripura,Sepahijala,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Sonamura",Tripura,Sepahijala,Co-ed,Government,UG,N/A,B.Com
Tripura Institute of Technology,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Tech
Bhavan's Tripura College of Science,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc
Maharaja Bir Bikram College,Tripura,West Tripura,Co-ed,Government,UG,N/A,BA
Maharaja Bir Bikram College,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Sc
Maharaja Bir Bikram College,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Khowai",Tripura,Khowai,Co-ed,Government,UG,N/A,BA
"Government Degree College, Khowai",Tripura,Khowai,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Khowai",Tripura,Khowai,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Melaghar",Tripura,Sepahijala,Co-ed,Government,UG,N/A,BA
"Government Degree College, Melaghar",Tripura,Sepahijala,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Melaghar",Tripura,Sepahijala,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Panisagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Panisagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Panisagar",Tripura,North Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Kumarghat",Tripura,Unakoti,Co-ed,Government,UG,N/A,BA
"Government Degree College, Kumarghat",Tripura,Unakoti,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Kumarghat",Tripura,Unakoti,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Gandacherra",Tripura,Dhalai,Co-ed,Government,UG,N/A,BA
"Government Degree College, Gandacherra",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Gandacherra",Tripura,Dhalai,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Amarpur",Tripura,Gomati,Co-ed,Government,UG,N/A,BA
"Government Degree College, Amarpur",Tripura,Gomati,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Amarpur",Tripura,Gomati,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Santirbazar",Tripura,South Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Santirbazar",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Santirbazar",Tripura,South Tripura,Co-ed,Government,UG,N/A,B.Com
Tripura Engineering College,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Tech
Holy Cross College,Tripura,West Tripura,Co-ed,Private,UG,N/A,BA
Holy Cross College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Sc
Holy Cross College,Tripura,West Tripura,Co-ed,Private,UG,N/A,B.Com
Brahmananda Sundari Tripura University College,Tripura,West Tripura,Co-ed,Government,UG,N/A,BA
Brahmananda Sundari Tripura University College,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Sc
Brahmananda Sundari Tripura University College,Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Jirania",Tripura,West Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Jirania",Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Jirania",Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Mohanpur",Tripura,West Tripura,Co-ed,Government,UG,N/A,BA
"Government Degree College, Mohanpur",Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Sc
"Government Degree College, Mohanpur",Tripura,West Tripura,Co-ed,Government,UG,N/A,B.Com
"Government Degree College, Bishalgarh",Tripura,Sepahijala,Co-ed,Government,UG,N/A,BA
